Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
MWR,Microwave Water Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
MWRI,MicroWave Radiation Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"NRSCC (NSMC-CMA, CNSA, CAST)",Operational,Imaging multi-spectral radiometers (passive microwave),Multi-purpose imaging MW radiometer,"All weather observations of precipitation, cloud features, vegetation, soil moisture sea ice, etc.","12 channels, 6 frequencies: 10.65 GHz, 18.7 GHz, 23.8 GHz, 36.5 GHz, 89 GHz, 150 GHz",MW,7.5 x 12 km at 150 GHz to 51 x 85 km at 10.65 GHz,,1400 km,,Constrained Access,L-1 data: HDF 5.0
MWRI,MicroWave Radiation Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
MWS,Microwave Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,EUMETSAT (ESA),Proposed,Atmospheric temperature and humidity sounders,Absorption-band MW radiometer/spectrometer,,25 channels from 23.8 to 229 GHz,MW,Footprint size 17 - 80 km (Threshhold),,,,,
MWTS,Microwave Temperature Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"NRSCC (NSMC-CMA, CNSA, CAST)",Operational,Atmospheric temperature and humidity sounders,Absorption-band MW radiometer/spectrometer,Temperature sounding in nearly all weather conditions.,"50.3 GHz, 53.6 GHz, 54.94 GHz, 57.29 GHz",MW,62 km,,750 - 1125 km,50 - 75 km,Open Access,L-1 data: HDF 5.0
MWTS,MicroWave Temperature Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
MWTS-2,Improved Microwave Temperature Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"CAST (NSMC-CMA, CNSA)",Operational,Atmospheric temperature and humidity sounders,Absorption-band MW radiometer/spectrometer,Temperature sounding in nearly all weather conditions.,,,,,,,Open Access,
MX (Cartosat-3),Multispectral VNIR,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Proposed,Imaging multi-spectral radiometers (vis/IR),High resolution optical imager,,VNIR Multispectral,NIR,1 m,1,16 km,,,
MX-T,Mx Multispectral Camera,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
N-MASS,Nucleation-Mode Aerosol Size Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
NACE,Neutral Atmosphere Composition Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
NANSEN BOTTLES,Nansen Water Sampling Bottles,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Bottles/Flasks/Jars,,,,,,,,,,,,,,
NAST-I,NPOESS Aircraft Sounder Testbed-Interferometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,Interferometers,,,,,,,,,,,,,
NAST-M,NPOESS Aircraft Sounder Testbed-Microwave Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
NAST-MTS,NPOESS Aircraft Microwave Temperature Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
NATE,Neutral Atmosphere Temperature Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
NAVREC,ER-2 NAV RECORDER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
NDIR GAS ANALYZER,Nondispersive Infrared Gas Analyzer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
NEAR-INFRARED SPECTROMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
NEPHELOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
NET RADIOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
NETS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
NEUSTON NET,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
NEUTRON MONITORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
NEUTRON PROBE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
NEVZOROV PROBE,Nevzorov Water Vapor Probe,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
NEXRAD,NEXt Generation RADar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
Next Gen APS (ACE),Next Gen APS (ACE),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Proposed,Multiple direction/polarisation radiometers,Multi-channel/direction/polarisation radiometer,Polarimeter for measuring aerosol optical properties and aerosol types.,,"VIS, NIR, SWIR",,,,,Open Access,
NFOVR,Narrow Field of View Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
NigeriaSat Medium and High Resolution,NigeriaSat Remote Sensing (Medium and High Resolution),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASRDA,Operational,High resolution optical imagers,High resolution optical imager,"High resolution images for monitoring of land surface and coastal processes and for agricultural, geological and hydrological applications.","NIR: ~0.75 - ~1.3 µm, VIS: ~0.40 - ~0.75 µm","VIS, NIR","2.5 PAN, 5 m multispectral (red blue green,NIR), 32 m multispectral (red, green, NIR)",2.5,"20 x 20 km , 300 x 300 km",35 - 45 m,,
NigeriaSat Medium Resolution,NigeriaSat Remote Sensing (Medium Resolution),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASRDA,Operational,Imaging multi-spectral radiometers (vis/IR),High resolution optical imager,"High resolution images for monitoring of land surface and coastal processes and for agricultural, geological and hydrological applications.","NIR: ~0.75 - ~1.3 µm, VIS: ~0.40 - ~0.75 µm","VIS, NIR","22 m multispectral (red, green and NIR)",22,600 x 600 km,150 - 300 m,,
NIRST,New Infrared Sensor Technology,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CONAE (CSA),Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"NIRST (two linear microbolometric arrays, respectively sensitive to the TIR bands). It measures the characteristics of high temperature events on land (fires & volcanos)and sea surface temperatures on selected targets.",• Band 1: 3.4-4.2 um • Band 2: 10.4-11.3 um • Band 3: 11.4-12.3 um,"TBD, MWIR, TIR",Space resol: 450 m (at nadir),450,Instant: 182 km; Extended: 1000 km,,Constrained Access,HDF-5/Geotif
NISKIN BOTTLES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Bottles/Flasks/Jars,,,,,,,,,,,,,,
NISTAR,NIST active Cavity Radiometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA (NOAA),Being developed,Earth radiation budget radiometers,Solar irradiance monitor,Measure the energy emitted and reflected by the Earth.,0.2 - 100 µm in 4 channels,"UV, VIS, NIR, SWIR, MWIR, TIR, FIR",,,,0.1% accuracy; 0.03% precision,Open Access,
NMLR,Nebraska Multiband Leaf Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
NOAA Comms,Communications package for NOAA,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Communications,,,,MW,,,,,,
NOAA PROFILER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
NOAMI,Nitrogen Oxide Automatic Measuring Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
NORPAC ZOOPLANKTON NET,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
Norsat-1 Instrument,Norsat-1 Instrument,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NSC,Proposed,,,,,,,,,,,
NPOL,NASA Portable S-band Multiparameter Weather Research Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
NS-001 TMS,NS-001 Thematic Mapper Simulator,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
NSCAT,NASA Scatterometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Scatterometers,,,,,,,,,,,,,,
NUCLEAR PRECESSION MAGNETOMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,
OAMI,Oxidants Automatic Measuring Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
OBDH,OnBoard Data Handling System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
OCE,Ocean Color Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
Ocean Color Spectrometer,Ocean Color Spectrometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Proposed,Ocean colour instruments,Medium-resolution spectro-radiometer,Ocean colour spectrometer for measuring ocean leaving light which contains information on biological components.,"Near UV-VIS (360 - 710 nm); NIR (748 - 865 nm); SWIR (1245, 1640, 2135 nm)",,1 km,,2500 km swath,,,
OCM,OCEAN COLOR MONITOR,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
OCM,Ocean Colour Monitor,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Operational,Ocean colour instruments,Medium-resolution spectro-radiometer,"Ocean colour data, Estimation of phytoplankton concentration, identification of potential fishing zones, assessment of primary productivity.",VIS - NIR: 0.40 - 0.88 µm (8 channels),"VIS, NIR",236 x 360m,236,1400 km,,Open Access,
OCM (Oceansat-3/3A),Ocean Colour Monitor (Oceansat-3/3A),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Proposed,Ocean colour instruments,Medium-resolution spectro-radiometer,"Ocean colour data, Estimation of phytoplankton concentration, identification of potential fishing zones, assessment of primary productivity.",13 channel,"VIS, NIR",360m,,1400 km,,Constrained Access,
OCO SPECTROMETERS,Orbiting Carbon Observatory Spectrometers,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
OCPS,Orbiter Camera Payload System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
OCS,Ocean colour scanner,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Being developed,Ocean colour instruments,Multi-purpose imaging Vis/IR radiometer,"Ocean colour data, estimation of phytoplankton concentration.","0.41 - 0.9 µm, 8 channels","VIS, NIR",1 km,1000,3000 km,TBD,Constrained Access,
OCTS,Ocean Color and Temperature Scanner,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
OFFI,Optical Free Fall Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,,,,,,,,,,,,,,,
OLCI,Ocean and Land Colour Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ESA (EC),Approved,Imaging multi-spectral radiometers (vis/IR) and ocean colour instruments,Medium-resolution spectro-radiometer,Marine and land services.,21 bands in VNIR/SWIR,"VIS, NIR",300 m,300,"1270 km, across-track tilt 12.2 deg to the West","2% abs, 0.1% rel.",Open Access,
OLI,Operational Land Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,USGS (NASA),Operational,Imaging multi-spectral radiometers (vis/IR),High resolution optical imager,"Measures surface radiance and emittance, land cover state and change (eg vegetation type). Used as multi-purpose imagery for land applications.",VIS - SWIR: 9 bands: 0.43 - 2.3 µm,"VIS, NIR, SWIR","Pan: 15 m, VIS - SWIR: 30 m",15,185 km,Absolute geodetic accuracy of 65 m; relative geodetic accuracy of 25 m (excluding terrain effects); geometric accuracy of 12 m or better,Open Access,
OLI,Operational Land Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
OLS,Operational Linescan System,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (DoD (USA)),Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,Day and night cloud cover imagery.,"VIS - NIR: 0.4 - 1.1 µm, TIR: 10.0 - 13.4 µm, and 0.47 - 0.95 µm","VIS, NIR, TIR","0.56 km (fine), 5.4 km (stereo products)",560,3000 km,,,
OLS,Operational Linescan System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
OMEGASONDE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
OMI,Ozone Measuring Instrument,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NSO (NASA),Operational,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,"Mapping of ozone columns, key air quality components (NO2, SO2, BrO, OClO and aerosols), measurements of cloud pressure and coverage, global distribution and trends in UV-B radiation.","UV: 270 - 314 nm and 306 - 380 nm, VIS: 350 - 500 nm","UV, VIS",13 x 24 km or 36 x 48 km depending on the product. Also has zoom modes (13 x 13 km) for example for urban pollution detection,,2600 km,,,HDF-EOS
OMI,Ozone Monitoring Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
OMPS,Ozone Mapping and Profiler Suite,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,Measures total amount of ozone in the atmosphere and the ozone concentration variation with altitude.,"Nadir Mapper: UV 0.3 - 0.38 µm, Nadir profiler: UV 0.25 - 0.31 µm, Limb soundings: UV - TIR 0.29 - 10 µm","UV, VIS, NIR, SWIR, MWIR, TIR","Mapper: 50 km, Profiler: 250 km, Limb: 1 km vertical",,"Mapper: 2800 km, Profiler: 250 km, Limb: 3 vertical slits along track +/- 250 km",Total Ozone 15 Dobson units. Profile Ozone 10% between 15 and 60 km; 20% between Tropopause and 15 km,,HDF-5
OMPS,Ozone Mapping and Profiler Suite,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
OPC,Optical Particle Counter,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
OPC,Optical Plankton Counter,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
OPS,Optical Sensor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
OPTICAL BEACON,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,,,,,,,,,,,,,,
OPTICAL DUST LOGGERS,DOWNHOLE OPTICAL DUST AND ASH LOGGERS,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
OPTICAL TELESCOPES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,Telescopes,,,,,,,,,,,,,,
OPTICAL TRACKING,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
OPTSPEC,Optical Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
ORG,Optical Rain Gauge,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
OSCR,OCEAN SURFACE CURRENT RADAR,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
OSIRIS,Optical Spectrograph and Infra-Red Imaging System,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CSA (SNSB),Operational,Atmospheric chemistry,Limb-scanning SW spectrometer,"Detects aerosol layers and abundance of species such as O3, NO2, OClO, BrO and NO. Consists of spectrograph and IR imager.","Spectrograph: UV - NIR: 0.28 - 0.80 µm; IR Imager: NIR: 1.26 µm, 1.27 µm, 1.52 µm","UV, VIS, NIR, SWIR","Spectrograph 1 km at limb, Imager 1 km in vertical",,"N/A, but measures in the altitude range 5 - 100 km",Depends on species. Ozone meets requirements for trend analysis,Open Access,HDF-EOS
OSMOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
OSS,Open-Source Neutral Mass Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
OTD,Optical Transient Detector,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
OTTER TRAWL,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
Overhauser Magnetometer,OM,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,Magnetic field,Magnetometer,Measurements of the strength of the Earth's magnetic field.,,,,,,,,
OVM,Overhauser Scalar Magnetometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,
OWEN TUBE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic/Motion Sensors,Gravimeters,,,,,,,,,,,,,,
OXYGEN ANALYZERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
OXYGEN METERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
OZONE DETECTORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
OZONE MONITORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
OZONE SENSOR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
OZONEMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
OZONESONDES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
P-SYSTEM,High Pressure Gas Sampling System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
PALMS,Particle Analysis by Laser Mass Spectrometry,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Spectrometers/Radiometers,Lidar/Laser Spectrometers,,,,,,,,,,,,,
PALS,Passive Active L-band System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
PALSAR,Phased Array type L-band Synthetic Aperture Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Imaging Radars,,,,,,,,,,,,,,
PALSAR-2 (ALOS-2),Phased Array type L-band Synthetic Aperture Radar-2,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,JAXA,Being developed,Imaging microwave radars,Imaging radar (SAR),"Disaster Monitoring, Land monitoring, Agricultural Monitoring, Natural Resource Exploration, Global Forest Monitoring, Potential use and interferometry.",Microwave: L-Band 1270 MHz,"MW, L-Band","Spotlight mode (1 to 3 m), stripmap mode (3 to 10 m).",1,"Spotlight mode: 25km, Stripmap mode: 50-70 km, Scan SAR mode: 350 - 490 km, Polarimetry: 30-50 km","Surface Resolution: 1 to 3 m (Spotlight Mode), 3m (Ultra-Fine Mode), 6m (High sensitive Mode), 10m (Fine Mode),100 m (Scan Mode); Radiometric: ±1 dB",No Access,CEOS SAR and GeoTiFF
PAM,PORTABLE FLUORESCENCE ANALYZERS,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
Pamela,Pamela,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSKOSMOS,Operational,Space environment,Space environment monitor,Cosmic ray research.,,N/A,,,,,Constrained Access,
PAN,IRS Panchromatic Camera,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
PAN (Cartosat-1),Panchromatic Camera,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Operational,High resolution optical imagers,High resolution optical imager,"High resolution stereo images for study of topography, urban areas, development of DTM, run-off models etc. Urban sprawl, forest cover/timber volume, land use change.",Panchromatic VIS: 0.5 - 0.75 µm,VIS,2.5 m,2.5,30 km,,Constrained Access,
PAN (Cartosat-2),Panchromatic Camera,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Operational,High resolution optical imagers,High resolution optical imager,"High resolution stereo images for large scale (better than 1:0000) mapping applications, urban applications, GIS ingest.",VIS: 0.5 - 0.75 µm,VIS,1 m,1,10 km,,Very Constrained Access,
PAN (Cartosat-2A/2B),Panchromatic Camera,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Operational,High resolution optical imagers,High resolution optical imager,"High resolution stereo images for large scale (better than 1:0000) mapping applications, urban applications, GIS ingest.",VIS: 0.5 - 0.75 µm,VIS,1 m,1,10 km,,Very Constrained Access,
PAN (Cartosat-2C/2E),Panchromatic Camera,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Operational,High resolution optical imagers,High resolution optical imager,"High resolution stereo images for large scale (better than 1:0000) mapping applications, urban applications, GIS ingest.",VIS: 0.5 - 0.75 µm,VIS,0.8 m,1,10 km,,Very Constrained Access,
PAN (Cartosat-3),Panchromatic sensor,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Being developed,High resolution optical imagers,High resolution optical imager,"High resolution images for study of topography, urban areas, development of DTM, run-off models etc. Urban sprawl, forest cover/timber volume, land use change.",Panchromatic VIS: 0.5 - 0.75 µm,VIS,0.3 m,0.3,15 km,,Very Constrained Access,
PAN (CBERS),Panchromatic and multispectral imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CAST (INPE),Being developed,High resolution optical imagers,High resolution optical imager,"Earth resources, environmental monitoring, land use, urban studies.","0.52 - 0.59 µm, 0.63 - 0.69 µm, 0.77 - 0.89 µm, 0.51 - 0.85 µm","VIS, NIR",5 m panchromatic and 10 m multispectral,5,60 km,,Open Access,GEOTIFF
PAN (GISTDA),Panchromatic imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,GISTDA,Operational,High resolution optical imagers,High resolution optical imager,"THEOS PAN is an optical instrument with resolution 2 m and swath width at 22 km. It can be used in several applications such as cartography, land use planning and management, national security, etc.",0.45 - 0.90 µm,VIS,2 m,2,22 km,GSD for PAN = 2 m +/- 10% MTF for PAN > 0.10,Constrained Access,DIMAP
PAN (SJ-9A),Panchromatic and multispectral imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CRESDA,Operational,High resolution optical imagers,High resolution optical imager,,0.45 - 0.89 µm,VIS,2.5 m,2.5,30 km,,,
PAN (ZY-02C),Panchromatic and multispectral imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CRESDA,Operational,High resolution optical imagers,High resolution optical imager,"Earth resources, environmental monitoring, land use","0.52 - 0.59 µm, 0.63 - 0.69 µm, 0.77 - 0.89 µm, 0.51 - 0.85 µm",VIS,5 m panchromatic and 10 m multispectral,5,60km,,Very Constrained Access,
PAN ANALYZER,PEROXYACETYL NITRATE ANALYZER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
PAN CAMERA,Panchromatic Camera,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ASI,Approved,High resolution optical imagers,High resolution optical imager,Panchromatic data.,VIS: 400 - 700 nm,VIS,5 m,5,30 km,-,Constrained Access,HDF
PAN+MS (RGB+NIR),Ingenio PAN+MS (RGB+NIR),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CDTI (ESA),Being developed,High resolution optical imagers,High resolution optical imager,"High resolution multi–spectral land optical images for applications in cartography, land use, urban management, water management, agriculture and environmental monitoring, risk management and security.","VIS+NIR band: 520 - 670 nm, 410 - 480 nm, 520 - 580 nm, 610 - 670 nm, 790 - 880 nm","VIS, NIR","PAN: 2.5 m, MS: 10 m",2.5,Swath will move between 55 and 60 km depending on latitude.,SNR: 100 in PAN and 120 in MS. The geo-location accuracy of level 1c PAN data product shall be better than or equal to 2.5 m RMS 2D in nadir view.,Constrained Access,
PANMUX,PanMux Camera,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
PAR SENSORS,Photosynthetically Active Radiation Sensors,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
PARABOLA,Portable Apparatus Rapid Acquisition Bidirectional Observ Land and Atmos,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
PARIS,Pathfinder Airborne Radar Ice Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
PARTICLE DETECTORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
