Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
Advanced GOCI,Advanced Geostationary Ocean Colour Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,KARI (KORDI),Proposed,Ocean colour instruments,Multi-purpose imaging Vis/IR radiometer,"Ocean colour information, coastal zone monitoring, land resources monitoring.",VIS - NIR: 0.40 - 0.88 µm (8 channels),"VIS, NIR",236 x 360 m,236,1440 km,,Open Access,"HDF, LRIT, HRIT"
Advanced IKFS-2,Advanced Fourier spectrometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Proposed,Atmospheric temperature and humidity sounders,High-resolution nadir-scanning IR spectrometer,"Atmospheric temperature/humidity profiles, data on cloud parameters, water vapour & ozone column amounts, surface temperature.","3,7 - 15,5 µm, more then 8000 spectral channels","MWIR, TIR",35 -100 km,35,1000/2000 km,0.5 K,Constrained Access,
Advanced KMSS,Advanced Multispectral Imager (VIS),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Proposed,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,Multispectral images of land & sea surfaces and ice cover.,"0.4 - 0.9 µm, 6 channels","VIS, NIR",60 m - 100 m,60,900 km,,Constrained Access,
Advanced MI,Advanced Meteorological Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"KARI (KMA, ITT)",Proposed,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,Continuous monitoring capability for the near real-time generation of high-resolution meteorological products and long-term change analysis of sea surface temperature and cloud coverage.,"1: VIS, 0.55 - 0.80 µm; 2: SWIR: 3.50 - 4.00 µm; 3: WV (Waver Vapour): 6.50 - 7.00 µm; 4: TIR1 (Thermal Infrared 1): 10.3 - 11.3 µm, 5: TIR2 (Thermal Infrared 2): 11.5 - 12.5 µm","VIS, NIR, SWIR, MWIR, TIR","VIS: 0.5km, 1 km, IR: 2 km",500,Full Earth disk,,Open Access,"HDF, LRIT, HRIT"
Advanced MSU-MR,Advanced Multispectral scanning imager-radiometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Proposed,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"Parameters of clouds, snow, ice and land cover, vegetation, surface temperature, fire detection.","VIS: 0.5 - 0.7 µm; NIR: 0.7 - 1.1 µm; SWIR: 1.6 - 1.8 µm; MWIR: 3.5 - 4.1 µm; TIR: 10.5 - 11.5 µm, 11.5 - 12.5 µm","VIS, NIR, SWIR, MWIR, TIR",1 km,1000,3000 km,VIS: 0.5%; IR: 0.1 - 0.2 K,Open Access,
Advanced MTVZA,Advanced Scanning microwave imager-sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Proposed,Imaging multi-spectral radiometers (passive microwave),Absorption-band MW radiometer/spectrometer,"Atmospheric temperature and humidity profiles, precipitation, sea-level wind speed, snow/ice coverage.","10.6 - 183.3 GHz, 26 channels",MW,12 - 75 km,,2600 km,0.4 - 2.0 K depending on spectral band,Constrained Access,
Advanced Radiomet,Advanced Radio-occultation receiver,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Proposed,Atmospheric temperature and humidity sounders,GNSS radio-occultation receiver,Atmospheric temperature and humidity profiles with high vertical resolution.,,N/A,,,,,Constrained Access,
Advanced SAR,Advanced Synthetic Aperture Radar X band,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Proposed,Imaging microwave radars,Imaging radar (SAR),High resolution microwave radar images for ice watch.,X-Band,"MW, X-Band","1 m, 5 m, 50 m, 200 m, 500 m",1,"10 km, 50 km, 130 km, 600 km, 750 km",1 dB,Very Constrained Access,
Advanced Scatterometer,Advanced Scatterometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Proposed,Scatterometers,Radar scatterometer,Ocean surface wind measurements.,"C (or X) - band, TBD",MW,25 km,25,1800 km,"Wind speed: 2 m/s, direction: 20 grad",Very Constrained Access,
AEISS,Advanced Electronic Image Scanning System,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"KARI (ASTRIUM, DLR)",Operational,High resolution optical imagers,High resolution optical imager,High resolution imager for land applications of cartography and disaster monitoring.,"Panchromatic VIS: 0.50 - 0.90 µm, VIS: 0.45 - 0.52 µm, 0.52 - 0.60 µm, 0.63 - 0.69 µm, NIR: 0.76 - 0.90 µm","VIS, NIR",Pan: 0.8 m; VNIR: 4 m,0.8,15 km,,Very Constrained Access,GEOTIF
